SEQ=2451 | IR=6330 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2452 | IR=6339 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2453 | IR=6328 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2454 | IR=6331 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2455 | IR=6331 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2456 | IR=6331 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2457 | IR=6326 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2458 | IR=6338 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2459 | IR=6329 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2460 | IR=6334 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2461 | IR=6348 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2462 | IR=6324 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2463 | IR=6342 | MOV=0.021 | MPU=OK | BLE=CONECTADO
